Restaurant name,Contacted about Rewards,Offer delivery/takeout during forced closure,Contact Email,Website,Last Contact Date,POC,Location,Restaurant Group,Type of Service,Contact Name,Decison Maker,Decision Maker's Phone,Visited (old),Emailed,Had Interview,Interested,Signed contract,Phone #,"Has loyalty 
or rewards?",Best time to call,Address
11 Degrees North,,,,,,,Lake View,,CS,,,,,,,,,,,,
20 East,y,,tonia.rudny@4Cbars.com,https://www.20eastchicago.com/,02/20/20,Dan,,,,,,,n,,,,,(312) 397-3633,,,
25 Degrees,y,,Contact Form,http://25degreeschi.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
3 Arts Club Cafe,y,,CHICAGO@RH.COM,https://www.restorationhardware.com/content/category.jsp?context=ChicagoCafe,02/26/20,Dan,Near North Side,,FS,,,,,,,,,,,,
312 Chicago,y,,info@312chicago.com,https://312chicago.com/,02/15/20,Dan,,,FS,Priya,,,n,,,,,(312) 696-2420,n,,
437 Rush,,,,,,,,,Closed,,,,,,,,,,,,
545 North,,,,,,,,,Closed,,,,,,,,,,,,
551 Live,y,,Contact Form,https://551live.com/,02/15/20,Dan,,Lodge Management Group,,,,,,,,,,,,,
6 Degrees,,,Contact Form (broken),https://www.6degreesbucktown.com/,,,Bucktown,,FS,,,,,,,,,,,,
676 Restaurant & Bar,,,Unlisted,https://www.omnihotels.com/hotels/chicago/dining/676-restaurant-and-bar,,,,Omni Hotels,FS,Mallory,,,n,,,,,(312) 944-6664,,6:30am-11pm,
7 Greens,y,,alexa@7greens.com,,03/01/20,,,Franchise,CS,Alexa,,,,,,,,,,,
7 Plates Cafe,y,,Contact Form,https://www.sevenplatescafe.com/,02/26/20,Dan,Lincoln Park,,FS,,,,,,,,,,,,
80 Proof,,,Unlisted,https://80proofchi.com/,,,,Four Corners,,,,,,,,,,,,,
90 Miles Cuban Cafe,y,,Contact Form,https://www.90milescubancafe.com/,02/21/20,Dan,,,FS,,,,,,,,,,,,
90th Meridian,,,,,,,,The Fifty/50 Group,,,,,,,,,,,y,,
A Taste Of Heaven,,,,,,,Andersonville,,CS,,,,,,,,,,,,
A Tavola,y,,Contact Form,https://www.atavolachi.com/our-menu,02/21/20,Dan,,,FS,,,,,,,,,,,,
Aba,,,,,,,,LEYE,,,,,,,,,,,LEYE,,
Abigail's American Bistro,n,,Unlisted,http://abigails493.com/,,,,,FS,,,,,,,,,,,,
About Last Knife,y,,info@alkchicago.com,https://alkchicago.com/,02/15/20,Dan,The Loop,,FS,,,,,,,,,,,,
Acanto,y,,info@acantochicago.com,https://www.acantochicago.com/,02/21/20,Dan,,Gage Hospitality Group,,,,,,,,,,,,,
AceBounce Ping Pong Bar & Restaurant,y,,info@acebounce.com,https://www.acebounce.com/,02/21/20,Dan,,,,,,,,,,,,(773) 219-0900,,12pm-1am,
Ada Street,y,,info@dmkrestaurants.com,https://www.dmkrestaurants.com/ada-st,02/22/20,Dan,,,FS,,,,,,,,,,,,
